"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","680","test_spec_id_special_chars_get","tests.api","Wed Jul 08 01:34:57 UTC 2026","passed","Wed Jul 08 01:34:57 UTC 2026","TestSpecBoundary","test_product_spec_api","",""
"登出后操作收藏返回 401。","733","test_operation_after_logout","tests.api","Wed Jul 08 01:29:08 UTC 2026","passed","Wed Jul 08 01:29:08 UTC 2026","TestFavoriteDefense","test_favorite_api","",""
"","807","test_verify_totp_negative_400","tests.api","Wed Jul 08 01:36:05 UTC 2026","passed","Wed Jul 08 01:36:06 UTC 2026","TestVerifyTOTP","test_totp_api","",""
"","714","test_cod_extra_field","tests.api","Wed Jul 08 01:33:03 UTC 2026","passed","Wed Jul 08 01:33:04 UTC 2026","TestPaymentCheck","test_payment_api","",""
"","737","test_status_new_200","tests.api","Wed Jul 08 01:28:14 UTC 2026","passed","Wed Jul 08 01:28:14 UTC 2026","TestUpdateStatus","test_contact_api","",""
"","705","test_invalid_brand_id","tests.api","Wed Jul 08 01:33:46 UTC 2026","passed","Wed Jul 08 01:33:47 UTC 2026","TestCreateProduct","test_product_api","",""
"","829","test_missing_first_name_422","tests.api","Wed Jul 08 01:36:15 UTC 2026","passed","Wed Jul 08 01:36:16 UTC 2026","TestRegister","test_user_api","",""
"","731","test_credit_card_missing_cvv_422","tests.api","Wed Jul 08 01:32:19 UTC 2026","passed","Wed Jul 08 01:32:19 UTC 2026","TestPaymentCheck","test_payment_api","",""
"","759","test_specific_year_200","tests.api","Wed Jul 08 01:35:16 UTC 2026","passed","Wed Jul 08 01:35:17 UTC 2026","TestAverageSalesPerMonth","test_report_api","",""
"Token 过期后更新状态——使用独立客户端，不污染 _mod_auth。","1593","test_token_expired_update_status","tests.api","Wed Jul 08 01:32:11 UTC 2026","passed","Wed Jul 08 01:32:12 UTC 2026","TestInvoiceDefense","test_invoice_api","",""
"","718","test_get_specs_nonexistent_product","tests.api","Wed Jul 08 01:34:29 UTC 2026","passed","Wed Jul 08 01:34:29 UTC 2026","TestGetSpecs","test_product_spec_api","",""
"","784","test_missing_message_422","tests.api","Wed Jul 08 01:27:37 UTC 2026","passed","Wed Jul 08 01:27:38 UTC 2026","TestSendMessage","test_contact_api","",""
"","1541","test_duplicate_spec_name","tests.api","Wed Jul 08 01:35:00 UTC 2026","passed","Wed Jul 08 01:35:02 UTC 2026","TestSpecBoundary","test_product_spec_api","",""
"","710","test_search_hit","tests.api","Wed Jul 08 01:25:47 UTC 2026","passed","Wed Jul 08 01:25:48 UTC 2026","TestSearchBrands","test_brand_api","",""
"","730","test_validation_code_3_digits","tests.api","Wed Jul 08 01:32:36 UTC 2026","passed","Wed Jul 08 01:32:37 UTC 2026","TestPaymentCheck","test_payment_api","",""
"","813","test_between_invalid","tests.api","Wed Jul 08 01:34:18 UTC 2026","passed","Wed Jul 08 01:34:19 UTC 2026","TestProductQueryBoundary","test_product_api","",""
"","789","test_spec_value_whitespace","tests.api","Wed Jul 08 01:34:41 UTC 2026","passed","Wed Jul 08 01:34:41 UTC 2026","TestAddSpec","test_product_spec_api","",""
"","708","test_delete_unauthenticated_401","tests.api","Wed Jul 08 01:37:24 UTC 2026","passed","Wed Jul 08 01:37:24 UTC 2026","TestDeleteUser","test_user_api","",""
"","721","test_xss_spec_name","tests.api","Wed Jul 08 01:35:03 UTC 2026","passed","Wed Jul 08 01:35:03 UTC 2026","TestSpecDefense","test_product_spec_api","",""
"","747","test_verify_missing_access_token_400","tests.api","Wed Jul 08 01:35:58 UTC 2026","passed","Wed Jul 08 01:35:59 UTC 2026","TestVerifyTOTP","test_totp_api","",""
"","2348","test_three_level_nesting_201","tests.api","Wed Jul 08 01:27:26 UTC 2026","passed","Wed Jul 08 01:27:28 UTC 2026","TestCategoryBoundary","test_category_api","",""
"","0","test_status_awaiting_fulfillment","tests.api","Wed Jul 08 01:32:03 UTC 2026","skipped","Wed Jul 08 01:32:03 UTC 2026","TestStatusEnum","test_invoice_api","",""
