"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1844","test_logged_in_nav_has_favorites[chromium]","tests.ui","Wed Jul 08 01:31:11 UTC 2026","passed","Wed Jul 08 01:31:13 UTC 2026","TestLoggedInState","test_home_page","",""
"","7","test_pagination_exists[chromium]","tests.ui","Wed Jul 08 01:26:27 UTC 2026","passed","Wed Jul 08 01:26:27 UTC 2026","TestPagination","test_category_page","",""
"","8","test_product_page_loads[chromium]","tests.ui","Wed Jul 08 01:32:29 UTC 2026","passed","Wed Jul 08 01:32:29 UTC 2026","TestProductPageLoad","test_product_page","",""
"","4641","test_unauthenticated_redirects_to_login[chromium]","tests.ui","Wed Jul 08 01:32:09 UTC 2026","passed","Wed Jul 08 01:32:13 UTC 2026","TestMessagesPageException","test_messages_page","",""
"密码修改区域正常渲染（无客户端校验，空提交不发请求）。","10","test_password_section_renders[chromium]","tests.ui","Wed Jul 08 01:33:26 UTC 2026","passed","Wed Jul 08 01:33:26 UTC 2026","TestProfilePasswordChange","test_profile_page","",""
"","4292","test_unauthenticated_redirects_to_login[chromium]","tests.ui","Wed Jul 08 01:25:38 UTC 2026","passed","Wed Jul 08 01:25:42 UTC 2026","TestAccountDashboardException","test_account_dashboard","",""
"","4","test_github_link_points_to_correct_repo[chromium]","tests.ui","Wed Jul 08 01:29:51 UTC 2026","passed","Wed Jul 08 01:29:51 UTC 2026","TestFooterLinks","test_footer_component","",""
"","1802","test_login_success_redirects_to_account[chromium]","tests.ui","Wed Jul 08 01:31:24 UTC 2026","passed","Wed Jul 08 01:31:26 UTC 2026","TestLoginSuccess","test_login_page","",""
"地址字段全部渲染（country 为 textbox 带 autocomplete，非 select）。","6","test_address_fields_present[chromium]","tests.ui","Wed Jul 08 01:33:47 UTC 2026","passed","Wed Jul 08 01:33:47 UTC 2026","TestProfileBoundary","test_profile_page","",""
"","46","test_increase_quantity[chromium]","tests.ui","Wed Jul 08 01:32:44 UTC 2026","passed","Wed Jul 08 01:32:44 UTC 2026","TestProductPageLoad","test_product_page","",""
"主菜单栏元素可见（Home/Categories/Contact/Sign in）。
        nav-rentals 在 DOM 中存在但不在主菜单栏，属于响应式折叠区。
        ","6","test_main_nav_elements_visible[chromium]","tests.ui","Wed Jul 08 01:30:14 UTC 2026","passed","Wed Jul 08 01:30:14 UTC 2026","TestHeaderElements","test_header_component","",""
"","1317","test_page_loads_with_all_sections[chromium]","tests.ui","Wed Jul 08 01:33:12 UTC 2026","passed","Wed Jul 08 01:33:13 UTC 2026","TestProfilePageLoad","test_profile_page","",""
"","8","test_messages_page_loads[chromium]","tests.ui","Wed Jul 08 01:32:09 UTC 2026","passed","Wed Jul 08 01:32:09 UTC 2026","TestMessagesPageLoad","test_messages_page","",""
"","74","test_password_visibility_toggle[chromium]","tests.ui","Wed Jul 08 01:31:54 UTC 2026","passed","Wed Jul 08 01:31:54 UTC 2026","TestLoginBoundary","test_login_page","",""
"","1946","test_invalid_product_id[chromium]","tests.ui","Wed Jul 08 01:32:44 UTC 2026","passed","Wed Jul 08 01:32:46 UTC 2026","TestProductExceptions","test_product_page","",""
"","14","test_specs_table_renders[chromium]","tests.ui","Wed Jul 08 01:32:55 UTC 2026","passed","Wed Jul 08 01:32:55 UTC 2026","TestProductExceptions","test_product_page","",""
"","2430","test_already_logged_in_nav_state[chromium]","tests.ui","Wed Jul 08 01:31:59 UTC 2026","passed","Wed Jul 08 01:32:02 UTC 2026","TestLoggedInRedirect","test_login_page","",""
"","1836","test_xss_in_product_id[chromium]","tests.ui","Wed Jul 08 01:33:04 UTC 2026","passed","Wed Jul 08 01:33:06 UTC 2026","TestProductSecurity","test_product_page","",""
"","15106","test_all_payment_methods_selectable[chromium]","tests.ui","Wed Jul 08 01:28:53 UTC 2026","skipped","Wed Jul 08 01:29:08 UTC 2026","TestCheckoutPaymentOptions","test_checkout_page","",""
"","9","test_sort_on_category_page[chromium]","tests.ui","Wed Jul 08 01:26:01 UTC 2026","passed","Wed Jul 08 01:26:01 UTC 2026","TestSortAndSearch","test_category_page","",""
"","21","test_chat_toggle_visible[chromium]","tests.ui","Wed Jul 08 01:29:49 UTC 2026","passed","Wed Jul 08 01:29:49 UTC 2026","TestFooterContent","test_footer_component","",""
"","42","test_empty_form_validation[chromium]","tests.ui","Wed Jul 08 01:31:34 UTC 2026","passed","Wed Jul 08 01:31:34 UTC 2026","TestLoginFailure","test_login_page","",""
"","5","test_all_footer_links_present[chromium]","tests.ui","Wed Jul 08 01:29:54 UTC 2026","passed","Wed Jul 08 01:29:54 UTC 2026","TestFooterLinks","test_footer_component","",""
"","2","test_sort_all_options[chromium]","tests.ui","Wed Jul 08 01:31:05 UTC 2026","passed","Wed Jul 08 01:31:05 UTC 2026","TestSortAndPagination","test_home_page","",""
"","4","test_footer_contains_demo_text[chromium]","tests.ui","Wed Jul 08 01:29:48 UTC 2026","passed","Wed Jul 08 01:29:48 UTC 2026","TestFooterContent","test_footer_component","",""
"","748","test_sign_in_link[chromium]","tests.ui","Wed Jul 08 01:30:57 UTC 2026","passed","Wed Jul 08 01:30:58 UTC 2026","TestSortAndNav","test_home_page","",""
"","1616","test_phone_with_letters_shows_error[chromium]","tests.ui","Wed Jul 08 01:34:23 UTC 2026","passed","Wed Jul 08 01:34:24 UTC 2026","TestRegisterValidation","test_register_page","",""
"","1844","test_logged_in_nav_items_visible[chromium]","tests.ui","Wed Jul 08 01:25:36 UTC 2026","passed","Wed Jul 08 01:25:38 UTC 2026","TestAccountDashboardLoad","test_account_dashboard","",""
"","52","test_xss_injection_in_email[chromium]","tests.ui","Wed Jul 08 01:32:05 UTC 2026","passed","Wed Jul 08 01:32:05 UTC 2026","TestLoginSecurity","test_login_page","",""
"","192","test_empty_search[chromium]","tests.ui","Wed Jul 08 01:30:44 UTC 2026","passed","Wed Jul 08 01:30:44 UTC 2026","TestSearch","test_home_page","",""
"","20","test_subject_has_seven_options_including_placeholder[chromium]","tests.ui","Wed Jul 08 01:29:33 UTC 2026","passed","Wed Jul 08 01:29:33 UTC 2026","TestContactBoundary","test_contact_page","",""
"","46","test_quantity_not_below_one[chromium]","tests.ui","Wed Jul 08 01:32:50 UTC 2026","passed","Wed Jul 08 01:32:50 UTC 2026","TestProductExceptions","test_product_page","",""
"","3497","test_register_success_redirects_to_login[chromium]","tests.ui","Wed Jul 08 01:33:55 UTC 2026","passed","Wed Jul 08 01:33:59 UTC 2026","TestRegisterSuccess","test_register_page","",""
"","64","test_register_link_redirects[chromium]","tests.ui","Wed Jul 08 01:31:42 UTC 2026","passed","Wed Jul 08 01:31:42 UTC 2026","TestLoginNavigation","test_login_page","",""
"","48","test_brand_filter_can_be_checked[chromium]","tests.ui","Wed Jul 08 01:26:08 UTC 2026","passed","Wed Jul 08 01:26:08 UTC 2026","TestFilterSection","test_category_page","",""
"","4","test_favorites_page_loads[chromium]","tests.ui","Wed Jul 08 01:29:41 UTC 2026","passed","Wed Jul 08 01:29:41 UTC 2026","TestFavoritesPageLoad","test_favorites_page","",""
"","1865","test_wrong_password_shows_error[chromium]","tests.ui","Wed Jul 08 01:31:29 UTC 2026","passed","Wed Jul 08 01:31:31 UTC 2026","TestLoginFailure","test_login_page","",""
"遍历所有卡片，找到有缺货标签的卡片并验证。","2","test_out_of_stock_card_has_label[chromium]","tests.ui","Wed Jul 08 01:32:25 UTC 2026","skipped","Wed Jul 08 01:32:25 UTC 2026","TestProductCardInteraction","test_product_card_component","",""
"","39","test_categories_menu_toggle[chromium]","tests.ui","Wed Jul 08 01:30:48 UTC 2026","passed","Wed Jul 08 01:30:48 UTC 2026","TestCategoryNavigation","test_home_page","",""
"","1848","test_click_card_navigates_to_detail[chromium]","tests.ui","Wed Jul 08 01:32:19 UTC 2026","passed","Wed Jul 08 01:32:21 UTC 2026","TestProductCardRender","test_product_card_component","",""
"","5473","test_xss_injection_does_not_crash[chromium]","tests.ui","Wed Jul 08 01:33:47 UTC 2026","passed","Wed Jul 08 01:33:53 UTC 2026","TestProfileSecurity","test_profile_page","",""
"","3137","test_search_hammer[chromium]","tests.ui","Wed Jul 08 01:30:40 UTC 2026","passed","Wed Jul 08 01:30:43 UTC 2026","TestSearch","test_home_page","",""
"","38","test_empty_email_does_not_crash[chromium]","tests.ui","Wed Jul 08 01:30:03 UTC 2026","passed","Wed Jul 08 01:30:03 UTC 2026","TestForgotPasswordException","test_forgot_password_page","",""
"","61","test_message_min_50_chars[chromium]","tests.ui","Wed Jul 08 01:29:31 UTC 2026","passed","Wed Jul 08 01:29:31 UTC 2026","TestContactValidation","test_contact_page","",""
"","43","test_language_menu_expands[chromium]","tests.ui","Wed Jul 08 01:30:15 UTC 2026","passed","Wed Jul 08 01:30:15 UTC 2026","TestLanguageSwitch","test_header_component","",""
"","6","test_invoices_page_loads[chromium]","tests.ui","Wed Jul 08 01:31:18 UTC 2026","passed","Wed Jul 08 01:31:18 UTC 2026","TestInvoicesPageLoad","test_invoices_page","",""
"","192","test_search_overlong_input[chromium]","tests.ui","Wed Jul 08 01:31:00 UTC 2026","passed","Wed Jul 08 01:31:00 UTC 2026","TestSearchBoundary","test_home_page","",""
"","4","test_favorites_button_exists[chromium]","tests.ui","Wed Jul 08 01:32:59 UTC 2026","passed","Wed Jul 08 01:32:59 UTC 2026","TestProductBoundary","test_product_page","",""
"","2116","test_sign_out_returns_to_public_nav[chromium]","tests.ui","Wed Jul 08 01:30:27 UTC 2026","passed","Wed Jul 08 01:30:30 UTC 2026","TestLoggedInNav","test_header_component","",""
"","59","test_empty_form_shows_field_errors[chromium]","tests.ui","Wed Jul 08 01:34:01 UTC 2026","passed","Wed Jul 08 01:34:01 UTC 2026","TestRegisterValidation","test_register_page","",""
"","15141","test_finish_button_disabled_without_payment[chromium]","tests.ui","Wed Jul 08 01:27:48 UTC 2026","skipped","Wed Jul 08 01:28:03 UTC 2026","TestCheckoutPayment","test_checkout_page","",""
"","6","test_category_heading_shows_correct_name[chromium]","tests.ui","Wed Jul 08 01:25:54 UTC 2026","passed","Wed Jul 08 01:25:54 UTC 2026","TestCategoryPageLoad","test_category_page","",""
"","2143","test_already_logged_in_nav_state[chromium]","tests.ui","Wed Jul 08 01:35:01 UTC 2026","passed","Wed Jul 08 01:35:03 UTC 2026","TestLoggedInState","test_register_page","",""
"","53","test_invalid_email_format[chromium]","tests.ui","Wed Jul 08 01:29:28 UTC 2026","passed","Wed Jul 08 01:29:28 UTC 2026","TestContactValidation","test_contact_page","",""
"","61","test_click_product_navigates_to_detail[chromium]","tests.ui","Wed Jul 08 01:25:58 UTC 2026","passed","Wed Jul 08 01:25:58 UTC 2026","TestProductNavigation","test_category_page","",""
"","82","test_password_visibility_toggle[chromium]","tests.ui","Wed Jul 08 01:34:56 UTC 2026","passed","Wed Jul 08 01:34:56 UTC 2026","TestRegisterBoundary","test_register_page","",""
"","57","test_overlong_email[chromium]","tests.ui","Wed Jul 08 01:31:46 UTC 2026","passed","Wed Jul 08 01:31:46 UTC 2026","TestLoginBoundary","test_login_page","",""
"","1647","test_password_too_short[chromium]","tests.ui","Wed Jul 08 01:34:27 UTC 2026","passed","Wed Jul 08 01:34:29 UTC 2026","TestRegisterValidation","test_register_page","",""
"","2356","test_empty_form_shows_validation_errors[chromium]","tests.ui","Wed Jul 08 01:29:24 UTC 2026","passed","Wed Jul 08 01:29:26 UTC 2026","TestContactPageLoad","test_contact_page","",""
"","3","test_rental_count_is_three[chromium]","tests.ui","Wed Jul 08 01:35:23 UTC 2026","passed","Wed Jul 08 01:35:23 UTC 2026","TestRentalsBoundary","test_rentals_page","",""
"","92","test_card_has_image_title_description[chromium]","tests.ui","Wed Jul 08 01:35:19 UTC 2026","passed","Wed Jul 08 01:35:19 UTC 2026","TestRentalsCardStructure","test_rentals_page","",""
"","53","test_overlong_password[chromium]","tests.ui","Wed Jul 08 01:31:49 UTC 2026","passed","Wed Jul 08 01:31:49 UTC 2026","TestLoginBoundary","test_login_page","",""
"未登录可访问 /checkout，显示步骤指示器但不重定向到登录页。","3331","test_unauthenticated_shows_checkout_without_redirect[chromium]","tests.ui","Wed Jul 08 01:27:33 UTC 2026","passed","Wed Jul 08 01:27:37 UTC 2026","TestCheckoutAuth","test_checkout_page","",""
"","5156","test_unauthenticated_redirects_to_login[chromium]","tests.ui","Wed Jul 08 01:29:41 UTC 2026","passed","Wed Jul 08 01:29:46 UTC 2026","TestFavoritesPageException","test_favorites_page","",""
"","4541","test_unauthenticated_redirects_to_login[chromium]","tests.ui","Wed Jul 08 01:31:18 UTC 2026","passed","Wed Jul 08 01:31:22 UTC 2026","TestInvoicesPageException","test_invoices_page","",""
"","1586","test_overlong_first_name[chromium]","tests.ui","Wed Jul 08 01:34:51 UTC 2026","passed","Wed Jul 08 01:34:53 UTC 2026","TestRegisterBoundary","test_register_page","",""
"输入错误当前密码 → API 应返回 400。

        使用 destructive_user（牺牲品账号），不影响共享 TEST_USER_*。

        MCP 实测通过：POST /users/change-password → 400 + alert 闪现 3 秒。

        根因：BasePage.goto() 使用 wait_until='load'，Angular zone.js 来不及
        初始化 HTTP 拦截器，导致表单提交不被拦截、API 请求不发出。

        修复方案已验证：ProfilePage.goto() 改为 wait_until='networkidle' 后
        正常通过。但靶场站点存在 Cloudflare RUM（/cdn-cgi/rum）和 Challenge
        心跳等永不关闭的连接，networkidle 永远等不到""网络空闲""状态 → 30s 超时
        → 1 skip 变 6 error，无法在生产环境使用。待换靶场或去 Cloudflare 后恢复。
        ","10067","test_wrong_password_triggers_server_error[chromium]","tests.ui","Wed Jul 08 01:33:33 UTC 2026","skipped","Wed Jul 08 01:33:43 UTC 2026","TestProfilePasswordChange","test_profile_page","",""
"","1647","test_invalid_email_format[chromium]","tests.ui","Wed Jul 08 01:34:18 UTC 2026","passed","Wed Jul 08 01:34:20 UTC 2026","TestRegisterValidation","test_register_page","",""
"","2117","test_sort_select[chromium]","tests.ui","Wed Jul 08 01:30:53 UTC 2026","passed","Wed Jul 08 01:30:55 UTC 2026","TestSortAndNav","test_home_page","",""
"","1324","test_click_product_card[chromium]","tests.ui","Wed Jul 08 01:30:50 UTC 2026","passed","Wed Jul 08 01:30:51 UTC 2026","TestProductDetail","test_home_page","",""
"","1836","test_first_card_has_all_core_elements[chromium]","tests.ui","Wed Jul 08 01:32:15 UTC 2026","passed","Wed Jul 08 01:32:17 UTC 2026","TestProductCardRender","test_product_card_component","",""
"","248","test_contact_link_navigates[chromium]","tests.ui","Wed Jul 08 01:30:08 UTC 2026","passed","Wed Jul 08 01:30:08 UTC 2026","TestHeaderNavigation","test_header_component","",""
"","6","test_rentals_page_loads[chromium]","tests.ui","Wed Jul 08 01:35:11 UTC 2026","passed","Wed Jul 08 01:35:11 UTC 2026","TestRentalsPageLoad","test_rentals_page","",""
"XSS 注入被 Angular 路由安全处理，跳回首页而非崩溃。","1868","test_xss_in_slug_does_not_crash[chromium]","tests.ui","Wed Jul 08 01:26:21 UTC 2026","passed","Wed Jul 08 01:26:23 UTC 2026","TestSecurity","test_category_page","",""
"","1636","test_weak_password_only_numbers[chromium]","tests.ui","Wed Jul 08 01:34:10 UTC 2026","passed","Wed Jul 08 01:34:12 UTC 2026","TestRegisterValidation","test_register_page","",""
"","9","test_cart_shows_item_and_total[chromium]","tests.ui","Wed Jul 08 01:26:39 UTC 2026","passed","Wed Jul 08 01:26:39 UTC 2026","TestCheckoutCart","test_checkout_page","",""
"","3516","test_duplicate_email_shows_error[chromium]","tests.ui","Wed Jul 08 01:34:04 UTC 2026","passed","Wed Jul 08 01:34:07 UTC 2026","TestRegisterValidation","test_register_page","",""
"","149","test_xss_injection_in_address[chromium]","tests.ui","Wed Jul 08 01:29:19 UTC 2026","passed","Wed Jul 08 01:29:19 UTC 2026","TestCheckoutSecurity","test_checkout_page","",""
"","2303","test_xss_in_fields_does_not_crash[chromium]","tests.ui","Wed Jul 08 01:29:33 UTC 2026","passed","Wed Jul 08 01:29:36 UTC 2026","TestContactSecurity","test_contact_page","",""
"","2891","test_add_to_cart_button_works[chromium]","tests.ui","Wed Jul 08 01:32:33 UTC 2026","passed","Wed Jul 08 01:32:36 UTC 2026","TestProductPageLoad","test_product_page","",""
"","1811","test_page_loads_with_products[chromium]","tests.ui","Wed Jul 08 01:30:36 UTC 2026","passed","Wed Jul 08 01:30:38 UTC 2026","TestHomePageLoad","test_home_page","",""
"分类页搜索框可能仅在首页存在，优先通过 Header 搜索组件验证。","6","test_search_on_category_page[chromium]","tests.ui","Wed Jul 08 01:26:05 UTC 2026","skipped","Wed Jul 08 01:26:05 UTC 2026","TestSortAndSearch","test_category_page","",""
"","48","test_categories_dropdown_contains_all[chromium]","tests.ui","Wed Jul 08 01:30:12 UTC 2026","passed","Wed Jul 08 01:30:12 UTC 2026","TestHeaderNavigation","test_header_component","",""
"","50","test_subcategory_filter_on_power_tools[chromium]","tests.ui","Wed Jul 08 01:26:11 UTC 2026","passed","Wed Jul 08 01:26:11 UTC 2026","TestFilterSection","test_category_page","",""
